Date,Close,High,Low,Open,Volume
2020-01-02,151.8295440673828,151.93352453696647,149.66487810348934,150.0902475068035,22622100
2020-01-03,149.93899536132812,151.19620847768044,149.4096455068012,149.6554253847614,21116200
2020-01-06,150.32659912109375,150.392775081882,147.94450973571048,148.4833216779959,20813700
2020-01-07,148.95594787597656,150.93156268718585,148.71018237427404,150.60072617609066,21634100
2020-01-08,151.3285369873047,151.99968621410528,149.30565620651117,150.23201839712107,27746500
2020-01-09,153.21914672851562,153.34203671349377,152.21716063972897,152.98282871045436,21385000
2020-01-10,152.5101318359375,154.2872472384287,152.35888490302304,153.909144329844,20725900
2020-01-13,154.34396362304688,154.3723206204449,152.43451073060453,152.90714658550698,21626500
2020-01-14,153.25694274902344,154.64649364113086,152.86937779572435,154.44798018924195,23477400
2020-01-15,154.24945068359375,154.96786650736908,153.67284871260028,153.72010076525626,21417900
2020-01-16,157.0758056640625,157.1419816102334,155.05292468702913,155.35541857174925,23865400
2020-01-17,157.95494079589844,158.30468678450072,156.37632402467744,158.2574203045993,34371700
2020-01-21,157.38780212402344,158.98531425517757,157.32162615470588,157.55794417591312,29517200
2020-01-22,156.6315460205078,158.3235907455817,156.6126365444651,158.2385053152415,24138800
2020-01-23,157.595703125,157.6713265938342,156.22506200867213,157.09471026471257,19680800
2020-01-24,156.0076446533203,158.3613765241698,155.44993777757642,158.3424670503659,24918100
2020-01-27,153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100
2020-01-28,156.40467834472656,156.6882483457103,154.14547932010373,154.81661422070258,24899900
2020-01-29,158.84349060058594,159.5146400250475,156.62211019371946,158.65443909714912,34754500
2020-01-30,163.32406616210938,164.52456542873182,161.4429700217879,164.52456542873182,51597500
2020-01-31,160.91363525390625,162.9648735939353,160.29921427404815,162.7852840446557,36142700
2020-02-03,164.83648681640625,164.9499148069927,161.07429499333622,161.10265199098285,30107000
2020-02-04,170.26234436035156,170.75388971293165,166.6608612717509,167.44543856138947,36433300
2020-02-05,170.05438232421875,174.1190537403817,168.64593664566272,173.95835927347207,39186300
2020-02-06,173.5802764892578,173.75988045068001,170.20564902136644,171.0658498767549,27751400
2020-02-07,173.82603454589844,175.47081270658518,172.4931978169128,172.8429581987189,33529100
2020-02-10,178.37277221679688,178.50510968178952,173.22104418313037,173.53298558426346,35844300
2020-02-11,174.34596252441406,180.26335979856873,173.45740457465837,180.21609331585088,53159900
2020-02-12,174.60116577148438,175.6787750789202,171.89768776529226,175.42354764661337,47062900
2020-02-13,173.6558837890625,176.03795827229686,172.86184453761513,173.0603579564026,35295800
2020-02-14,175.20611572265625,175.26282971697995,172.65387058847747,173.22103937911754,23149500
2020-02-18,176.9832763671875,177.42755537073813,175.34795981028998,175.4519403094977,27792200
2020-02-19,177.5140380859375,178.36710062256168,176.74627891035584,178.25336280783833,29997500
2020-02-20,174.80316162109375,177.48558908217993,171.6562951458951,177.20123010558348,36862400
2020-02-21,169.27720642089844,173.9311720431706,168.0070858019182,173.61837855406034,48572600
2020-02-24,161.9786834716797,165.44783074072646,154.71812221585304,159.0213851901823,68311100
2020-02-25,159.3057403564453,165.72269796356616,158.90762916974325,165.11607231858156,68073300
2020-02-26,161.29624938964844,164.2251136153781,159.43846438675976,160.86024482213514,56206100
2020-02-27,149.9314727783203,158.3199827709648,149.74190495438836,154.8034540782687,93174900
2020-02-28,153.5618133544922,155.1731766412521,144.07380051418946,144.4624241051423,97012700
2020-03-02,163.77964782714844,163.90287344639816,153.8461442900306,156.68970562212584,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.6564483642578,161.79862063132381,156.98352219099715,159.70387209335476,49814400
2020-03-05,157.599609375,161.95972690449452,157.0498525958926,157.39108044281798,47817300
2020-03-06,153.14474487304688,154.60443335618072,147.86519228321035,154.1305064578371,72821100
2020-03-09,142.7657470703125,149.52394987677073,142.17808229169958,143.12593617364425,70419300
2020-03-10,152.52862548828125,152.63288998051783,144.6235285924919,149.91255431457344,65354400
2020-03-11,145.61875915527344,149.47651594433142,143.2680717176468,148.9362468910333,56371600
2020-03-12,131.80853271484375,145.4671079518946,131.35356699021355,137.72314498743467,93226400
2020-03-13,150.54762268066406,153.4670141569079,133.39146289991785,139.8084372561925,92727400
2020-03-16,128.35836791992188,141.56197970377613,127.96027103449792,132.6995403320719,87905900
2020-03-17,138.9269256591797,139.8084226699975,127.96025125728585,132.69951982237052,81059800
2020-03-18,133.07862854003906,138.3866140419556,127.97918643285101,130.8037858752731,81593200
2020-03-19,135.26820373535156,142.3202228977112,131.7516602526152,135.32507264150863,85922700
2020-03-20,130.18772888183594,139.42930369211481,128.7754214733434,138.38665869750938,84866200
2020-03-23,128.88912963867188,133.23978869379377,125.60956425248216,129.86541769841315,78975200
2020-03-24,140.60462951660156,141.79893456349842,133.90331065731874,136.25398403659477,82516700
2020-03-25,139.25868225097656,146.28228256625601,136.9080088143488,141.14491656968082,75638200
2020-03-26,147.96945190429688,148.49077436791936,140.63305855292953,140.66149300884524,64568100
2020-03-27,141.8936767578125,146.81303910788503,141.4197499720729,143.83677947196435,57042300
2020-03-30,151.87457275390625,152.22528840805572,142.18750815722464,144.4907998422536,63420300
2020-03-31,149.48599243164062,156.18730963025092,148.39595215161313,151.08785281104335,77927200
2020-04-01,144.17807006835938,149.52396595898693,142.95534479290427,145.02165953549923,57969900
2020-04-02,147.16375732421875,147.37228629111345,142.5192800719628,143.94106059364518,49630700
2020-04-03,145.80831909179688,149.1732022198361,144.25383978691568,147.01209719751583,41243300
2020-04-06,156.6518096923828,157.81766587712184,149.36281127861645,151.9599360318996,67111700
2020-04-07,154.96458435058594,161.13510584413748,154.74656761748417,160.74648241184053,62769000
2020-04-08,156.51907348632812,157.97876170284414,154.97406745173703,157.03090807928612,48318200
2020-04-09,156.52853393554688,158.64224329248236,154.81292133217562,157.68491641818002,51385100
2020-04-13,156.87925720214844,156.936140571891,153.83665499194112,155.77975792648093,41905300
2020-04-14,164.64218139648438,164.6895769731253,159.23941831070533,160.18727199112618,52874300
2020-04-15,162.91709899902344,164.5189740701982,160.4147658031758,162.2725509605704,40940800
2020-04-16,167.80799865722656,168.03548873292664,163.88388524576575,165.2108889927018,50479600
2020-04-17,169.28665161132812,170.6136408101682,166.6990009789437,170.13971403013997,52765600
2020-04-20,165.9312286376953,169.42881030865183,165.86488641460832,167.41936555024498,36669600
2020-04-21,159.0688018798828,164.61373689398496,157.4479658215462,164.452603513722,56203700
2020-04-22,164.4715576171875,164.9265232869323,161.91235583811329,162.45262485910442,34620200
2020-04-23,162.48109436035156,165.9312815649868,161.997694135911,165.0308233603539,32790800
2020-04-24,165.44784545898438,165.4573187880793,161.80809117902592,163.087684835539,34277600
2020-04-27,164.97393798828125,167.67531233267164,164.26304771926806,167.3814800022421,33194400
2020-04-28,160.95504760742188,166.50947132086196,160.55695075653242,166.4336412831067,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
2020-04-30,169.86488342285156,170.99281727965172,167.0402687259744,170.61368155033583,53875900
2020-05-01,165.466796875,169.3245532026523,164.93598675176287,166.63265266160045,39370500
2020-05-04,169.51412963867188,169.66578968159777,164.7369539912882,165.3909752711956,30372900
2020-05-05,171.33401489257812,174.0733112718267,170.51886020205268,171.20131596449716,36839200
2020-05-06,173.02122497558594,174.5946657427931,172.15868901608658,172.5852203302304,32139300
2020-05-07,174.02593994140625,174.92639803706723,173.05912514642642,174.56620901356314,28316000
2020-05-08,175.0496063232422,175.35292643558043,173.79844701759438,175.33396531278456,30877800
2020-05-11,177.002197265625,177.7320341687052,173.3150471152791,173.59939164214202,30892700
2020-05-12,172.9927520751953,177.28652764537918,172.79371092227436,177.05905204204092,32038200
2020-05-13,170.376708984375,174.45248294032083,167.3340921291514,173.0307023368351,44711500
2020-05-14,171.11598205566406,171.26764207870445,166.5188870410364,168.28189503536728,41873900
2020-05-15,173.60885620117188,177.30547918666417,167.77007497933533,169.72265093901058,46610400
2020-05-18,175.2676544189453,176.490379490596,174.36719617695738,176.0638481615598,35264500
2020-05-19,174.05438232421875,176.8695090149878,173.92168338263468,175.38137174005942,26799100
2020-05-20,176.46861267089844,176.64920874209136,174.83376282051205,175.66068745873378,31261300
2020-05-21,174.34901428222656,177.42861841763434,174.21594577347696,176.22148762180447,29119500
2020-05-22,174.42506408691406,175.32804455149363,173.50308419399207,174.12091369625077,20826900
2020-05-26,172.58111572265625,177.26704182371978,172.13438260711965,177.11495937941368,36073600
2020-05-27,172.8092041015625,172.98030045667377,167.85714157024967,171.27890913531226,39517100
2020-05-28,172.4195098876953,175.03336693369795,171.45001698942932,171.792195219223,33810200
2020-05-29,174.17791748046875,175.14742482016004,171.47851967536127,173.68365684604478,42130400
2020-06-01,173.77871704101562,173.94029918509904,172.47654567180405,173.50306582205417,22622400
2020-06-02,175.75576782226562,175.84130876193302,172.37201306609043,175.12843859127653,30794600
2020-06-03,176.18348693847656,176.73477494392236,174.49160956121008,175.67022679734052,27311000
2020-06-04,173.86431884765625,176.63975891851817,173.27501735073014,175.17600489269452,28761800
2020-06-05,177.93240356445312,178.43616402505074,172.99933933390125,173.57914102484705,39893600
2020-06-08,179.03497314453125,179.21556924712382,175.309040013136,176.73478039775375,33211600
2020-06-09,180.40367126464844,181.25910962308345,177.98940962513453,178.6927800443984,29783900
2020-06-10,187.09510803222656,188.6919444062421,181.55373004654078,181.66779911114176,43872300
2020-06-11,177.04843139648438,186.06860558677644,176.85833559384204,183.5688175004387,52854700
2020-06-12,178.4456024169922,182.2285613731941,176.01232758996161,181.10697183138015,43373600
2020-06-15,179.58624267578125,181.3731750815915,174.9003022190702,175.44209047106233,32770200
2020-06-16,183.98704528808594,185.89753212160974,181.98150329725257,183.3407021258186,42556700
2020-06-17,184.62387084960938,186.60089915769962,184.10109650074745,185.37475436642524,25687800
2020-06-18,186.60086059570312,186.76244272407226,184.395709071984,184.395709071984,23061600
