Date,Close,High,Low,Open,Volume
2020-01-02,144.79026794433594,144.79026794433594,141.76160050657813,141.94721653656185,9502100
2020-01-03,143.12939453125,144.4971780039548,142.68975090843216,143.03168932274747,7320200
2020-01-06,142.29891967773438,142.67018151475796,140.9897535998458,142.1914499305812,8262500
2020-01-07,142.34779357910156,143.49087292933734,142.0742368922616,142.6311297311495,6906500
2020-01-08,142.05470275878906,142.7679180134425,141.4880602306887,142.14264341317644,6984200
2020-01-09,141.49781799316406,143.2564073806162,141.28287846204648,143.10008501112677,6664200
2020-01-10,141.29263305664062,142.152391120486,140.94091520395122,141.95699562626314,5152500
2020-01-13,140.56967163085938,141.41965025049527,140.06163140743837,141.41965025049527,9921300
2020-01-14,141.8592987060547,143.34433138273153,139.01624713983438,140.1104888052538,14839100
2020-01-15,140.9995574951172,142.35757640387885,140.61851612832484,142.35757640387885,6818200
2020-01-16,141.78114318847656,142.08400847046315,141.11679546124432,141.75183460684704,6948400
2020-01-17,141.00930786132812,142.28916545638006,140.69666315318588,142.19146025815556,10355300
2020-01-21,140.25701904296875,141.26331996842757,139.71967027021887,140.9213815913832,9250200
2020-01-22,140.69667053222656,141.45872341364003,140.23748291038498,141.12654957460768,7550000
2020-01-23,138.92831420898438,140.30587705011897,137.41397303021577,140.29611249304537,11082000
2020-01-24,136.8571014404297,138.97717322548772,135.9973433312001,138.14672369655264,13076300
2020-01-27,132.77325439453125,134.5611521838583,131.8939672426682,132.7341812599303,12831800
2020-01-28,135.1864471435547,135.73356055706054,132.73420134097577,133.35947594322852,10390000
2020-01-29,132.92958068847656,135.48929595073508,132.66578857201063,135.4111496792169,9382700
2020-01-30,134.63931274414062,134.67840078628274,131.7278797287983,131.98189237184155,11847300
2020-01-31,135.1278076171875,135.479525454483,133.90656719709474,135.21573334958137,12379100
2020-02-03,138.06857299804688,138.5570691976023,136.53468777573684,136.57376091230407,12639900
2020-02-04,141.40011596679688,142.24033008705536,139.95417128578995,142.14263978471766,23519700
2020-02-05,138.1173858642578,143.91095750156475,135.38181956466147,143.2270659266657,27824100
2020-02-06,139.41680908203125,140.63804955210463,137.97086453962615,138.6547562213231,9504600
2020-02-07,137.77548217773438,138.72316606545542,136.8961800108404,138.62546085544875,10948900
2020-02-10,139.309326171875,139.309326171875,137.22834274458992,137.7852205943527,8162100
2020-02-11,137.7657012939453,139.70015709656565,137.22836736760595,139.5633787485975,10790100
2020-02-12,138.58636474609375,138.94784712930493,137.6289015514335,138.0880891284572,8168200
2020-02-13,137.65821838378906,138.6352107496292,137.58007211331582,137.92201049672764,7543100
2020-02-14,136.3295135498047,138.0294857002306,135.92895799387094,137.8536342231457,9110500
2020-02-18,135.93873596191406,136.44677623648082,134.92267032050304,135.82150163229193,8214900
2020-02-19,138.04901123046875,138.60588907436346,136.02663006856918,136.41743592261014,7080900
2020-02-20,137.14041137695312,138.3714312786959,135.65539373875072,138.3714312786959,5981700
2020-02-21,135.77261352539062,136.66168004648856,135.39158714602274,136.64213602742086,7725800
